5: "ABANIN"
1665: "BELLAMARIA"
1670: "SABANILLA"
1675: "ZURMI"
1680: "SAN JOSE DE DAHUANO"
1685: "16 DE AGOSTO"
1690: "SAN RAFAEL DE SHARUG"
1695: "CARCABON"
1700: "SINSAO"
1705: "ILAPO"
1710: "IMANTAG"
1715: "IMBAYA"
1720: "INDANZA"
1725: "INGAPIRCA"
1730: "RIO BLANCO"
1735: "ISINLIVI"
1740: "ISLA DE BEJUCAL"
1745: "IZAMBA"
1750: "SALVIAS"
1755: "LUZ DE AMERICA"
1760: "LUIS CORDERO VEGA"
1765: "SANTA MARTHA DE CUBA"
1770: "SAN CARLOS DE LAS MINAS"
1775: "VENTURA"
1780: "QUINARA"
1785: "SANTIAGO DE PANANZA"
1790: "SANTA CECILIA"
1795: "JAMBELI"
1800: "SANTA MARIANITA"
1805: "JADAN"
1810: "GARCIA MORENO"
1815: "JAMBELI"
1820: "LA BELLEZA"
1825: "JAVIER LOYOLA / CHUQUIPATA"
1830: "JESUS MARIA"
1835: "JIJON Y CAAMAÑO"
1840: "JIMBILLA"
1845: "JIMBURA"
1850: "JOSE LUIS TAMAYO / MUEY"
1855: "JUAN BAUTISTA AGUIRRE"
1860: "JUAN BENIGNO VELA"
1865: "JUAN DE VELASCO / PONGOR"
1870: "JUAN GOMEZ RENDON"
1875: "JUAN MONTALVO"
1880: "JULCUY"
1885: "JULIO ANDRADE"
1890: "JULIO E MORENO"
1895: "DUCUR"
1900: "JUNCAL"
1905: "JOSEGUANGO BAJO"
1910: "EL IDEAL"
1915: "VIRGEN DE FATIMA"
1920: "SALANGO"
1925: "CHIRIJOS"
1930: "TALAG"
1935: "SAN LUIS DE ARMENIA"
1940: "NUEVO PARAISO"
1945: "SAN JOSE DE GUAYUSA"
1950: "RUMIPAMBA"
1955: "TRES DE NOVIEMBRE"
1960: "LAGO SAN PEDRO"
1965: "UNION MILAGREÑA"
1970: "SAN JACINTO DEL BUA"
1975: "BELLAMARIA"
1980: "SAN PEDRO DE SUMA"
1985: "SANTA ROSA"
1990: "EL ESFUERZO"
1995: "ALEJANDRO LABAKA"
2000: "BOLASPAMBA"
2005: "LA AVANZADA"
2010: "LA CONCEPCION"
2015: "LA CHONTA"
2020: "LA ESPERANZA"
2025: "LA ESPERANZA"
2030: "ANGEL PEDRO GILER"
2035: "LAGARTO"
2040: "LA LIBERTAD"
2045: "SANTA MARIA DEL TOACHI"
2050: "RIO BONITO"
2055: "LA MERCED"
2060: "LA MERCED DE BUENOS AIRES"
2065: "LA PAZ"
2070: "LA PAZ"
2075: "LA PEAÑA"
2080: "LA PROVIDENCIA"
2085: "LA RAMA"
2090: "LASCANO"
2095: "LA SOFIA"
2100: "SAN JOSE"
2105: "LAS LOJAS"
2110: "SAN ANDRES"
2115: "LAS PAMPAS"
2120: "LA TINGUE"
2125: "LA TOLA"
2130: "LA UNION"
2135: "LA UNION"
2140: "LAURO GUERRERO"
2145: "LA VICTORIA"
2150: "LA VICTORIA"
2155: "LA VICTORIA DE IMBANA"
2160: "LICAN"
2165: "LICTO"
2170: "LA CANELA"
2175: "LIMONCOCHA"
2180: "LINARES"
2185: "LITA"
2205: "LOS ANDES"
2210: "LOS ANDES"
2215: "LUDO"
2220: "LUIS CORDERO"
2225: "LUIS VARGAS TORRES"
2230: "LA BOCANA"
2240: "LOS ENCUENTROS"
2255: "LLACAO"
2260: "LLAGOS"
2265: "LLANO CHICO"
2270: "LLIGUA"
2275: "LLOA"
2280: "LLUZHAPA"
2285: "MACUMA"
2305: "MACHALILLA"
2310: "MADRE TIERRA"
2315: "MAGDALENA/CHAPACOTO"
2320: "MAJUA"
2325: "MALACATOS/VALLADOLID"
2330: "MALCHINGUI"
2335: "MALDONADO"
2340: "MALDONADO"
2345: "MALIMPIA / GUAYLLABAMBA"
2350: "MALVAS"
2355: "MANGLARALTO"
2360: "MANU"
2365: "MANUEL J. CALLE"
2375: "MARCOS ESPINEL"
2380: "MARIANO ACOSTA"
2385: "MARIANO MORENO/CALLASAY"
2390: "MARISCAL SUCRE/HUAQUES"
2395: "MATAJE"
2400: "MATUS"
2405: "MERCADILLO"
2410: "MINDO"
2430: "MOLLETURO"
2435: "MONTALVO"
2445: "MONTALVO / HORQUETA"
2450: "MONTALVO/ANDOAS"
2455: "MONTEOLIVO"
2460: "MORASPUNGO"
2465: "MOROMORO"
2470: "MORRO"
2475: "MULALILLO"
2480: "MULALO"
2485: "MULTITUD"
2490: "MULLIQUINDIL"
2520: "NAMBACOLA"
2525: "NANEGAL"
2530: "NANEGALITO"
2540: "NAYON"
2545: "NAZON"
2550: "NIEVES"
2555: "NOBOA"
2560: "NONO"
2565: "NUEVA TARQUI"
2570: "MULTI / NULTI"
2575: "NUEVA FATIMA"
2595: "OCTAVIO CORDERO PALACIOS"
2600: "OLMEDO/PESILLO"
2620: "11 DE NOVIEMBRE"
2630: "ORIANGA"
2635: "OTON"
2640: "OYACACHI"
2670: "PAMPANAL DE BOLIVAR"
2675: "PABLO ARENAS"
2680: "PACCHA"
2690: "PACTO"
2710: "PALETILLAS"
2715: "PALMALES"
2720: "PALMA ROJA"
2725: "PALMAS"
2730: "PALMIRA"
2745: "PANCHO NEGRO"
2750: "PAN DE AZUCAR"
2755: "PANO"
2760: "PANZALEO"
2765: "PANACOCHA"
2770: "PAPALLACTA"
2775: "PASA"
2785: "PATAQUI"
2795: "PATUCA"
2810: "PEDRO PABLO GOMEZ"
2820: "PEÑAHERRERA"
2825: "PERUCHO"
2830: "PICAYHUA"
2850: "PIEDRAS"
2855: "PIFO"
2860: "PILAHUIN"
2865: "PILALO"
2875: "PIMOCHA"
2885: "PINDILIG"
2890: "PINLLOPATA"
2895: "PINTAG"
2900: "PIOTER"
2905: "PISTISHI"
2915: "PLAZA GUTIERREZ/CALVARIO"
2920: "POALO"
2925: "POMASQUI"
2930: "POMPEYA"
2940: "POSORJA"
2945: "PRESIDENTE URBINA"
2950: "PRINCIPAL"
2955: "PUCAPAMBA"
2965: "PUCAYACO"
2970: "PUEBLO NUEVO"
2975: "PUELA"
2980: "PUELLARO"
2985: "PUEMBO"
2990: "PUERTO CAYO"
3000: "PUERTO MISAHUALLI"
3005: "PUERTO BOLIVAR"
3015: "PUERTO PECHICHE"
3020: "PUERTO RODRIGUEZ"
3025: "PUMALLACTA"
3030: "PUNA"
3035: "PUNGALA"
3040: "PUNIN"
3045: "PURUNUMA /EGUIGUREN"
3050: "PUERTO NAPO"
3055: "POMONA"
3095: "QUIMIAG"
3100: "QUINCHE"
3105: "QUINGEO"
3110: "QUIROGA"
3115: "QUIROGA"
3120: "QUISAPINCHA"
3125: "QUINGUE"
3155: "RAMON CAMPAÑA"
3160: "REMIGIO CRESPO TORAL"
3165: "RICAURTE"
3170: "RICAURTE"
3175: "RICAURTE"
3180: "RIO CORRIENTES"
3185: "RIO CHICO"
3190: "RIO NEGRO"
3195: "RIO TIGRE"
3200: "RIO VERDE"
3210: "RIVERA"
3215: "ROCAFUERTE"
3220: "ROSA FLORIDA"
3225: "ROSARIO"
3230: "RUMIPAMBA"
3235: "ROBERTO ASTUDILLO"
3250: "SAN MIGUEL DE CONCHAY"
3255: "SABANILLA"
3260: "SABANILLA"
3265: "SABIANGO"
3270: "SACAPALCA"
3275: "SALATI"
3280: "SALIMA"
3285: "SALINAS"
3290: "SALINAS"
3295: "SAN ANDRES"
3300: "SAN ANDRES"
3305: "SAN ANTONIO"
3315: "SAN ANTONIO"
3320: "SAN ANTONIO"
3325: "SAN ANTONIO"
3330: "SAN ANTONIO"
3335: "SAN ANTONIO DE BAYUSHIG"
3340: "SAN ANTONIO DE CUMBE"
3345: "SAN ANTONIO DE LAS ARADAS"
3350: "SAN ANTONIO / DEL PELUDO"
3355: "SAN BARTOLOME"
3360: "SAN BARTOLOME"
3365: "SAN BLAS"
3370: "SAN CARLOS"
3375: "SAN CRISTOBAL"
3380: "SAN FERNANDO"
3390: "SAN FRANCISCO"
3395: "SAN FRANCISCO DE BORJA"
3400: "SAN FCO.DE NATABUELA"
3405: "SAN FRANCISCO DE ONZOLE"
3410: "SAN FCO. DE SAGEO"
3415: "SAN FRANCISCO DE SIGSIPAMBA"
3420: "SANGAY"
3425: "SAN GERARDO / PAQUICAHUAN"
3430: "SAN GREGORIO"
3435: "SAN ISIDRO"
3440: "SAN ISIDRO"
3445: "SAN ISIDRO"
3450: "SAN ISIDRO DE PATULU"
3455: "SAN JAVIER DE CACHABI"
3460: "SAN JOAQUIN"
3465: "SAN JOSE DE CHALTURA"
3470: "SAN JOSE DE CHAMANGA"
3475: "SAN JOSE DE MINAS"
3480: "SAN JOSE DE PAYAMINO"
3485: "SAN JOSE DE POALO"
3490: "SAN JOSE DE QUICHINCHE"
3495: "SAN JOSE DE RARANGA"
3500: "SAN JOSE DE TAMBO"
3505: "SAN JUAN"
3510: "SAN JUAN"
3515: "SAN JUAN"
3525: "SAN JUAN DE ILUMAN"
3530: "SAN JUAN DE PASTOCALLE"
3535: "SAN JUAN DE POZUL"
3545: "SAN LORENZO"
3550: "SAN LORENZO"
3555: "SAN LUCAS"
3560: "SAN LUIS"
3565: "SAN LUIS DEL ACHO"
3570: "SAN MATEO"
3575: "SAN MIGUEL"
3580: "SAN MIGUEL DE CUYES"
3585: "SAN MIGUELITO"
3590: "SAN PABLO"
3595: "SAN PABLO DE ATENAS"
3600: "SAN PABLO DE TENTA"
